Time Step,Body 1 Position,Body 2 Position,Body 1 Velocity,Body 2 Velocity,Kinetic Energy 1,Kinetic Energy 2,Kinetic Energy 3,Potential Energy,Total Energy
1.4000000000000001,[-23.94636182   0.        ],[ 11.97318091 -20.73815766],[-22.47788331   0.        ],[ 11.23894165 -19.46641797],252.6276189543093,252.62761895430938,252.62761895430938,-2.855491185629855,755.0273656772982
1.5,[-26.19415015   0.        ],[ 13.09707507 -22.68479946],[-22.47390846   0.        ],[ 11.23695423 -19.46297565],252.53828078667235,252.53828078667243,252.53828078667243,-2.610454040723843,755.0043883192933
1.6,[-28.44154099   0.        ],[ 14.2207705  -24.63109702],[-22.47058653   0.        ],[ 11.23529327 -19.46009877],252.46362955226124,252.46362955226132,252.46362955226132,-2.4041814439914226,754.9867072127925
1.7000000000000002,[-30.68859965   0.        ],[ 15.34429982 -26.5771069 ],[-22.46776884   0.        ],[ 11.23388442 -19.45765859],252.40031842567814,252.40031842567822,252.40031842567822,-2.2281441930259067,754.9728110840088
1.8,[-32.93537653   0.        ],[ 16.46768827 -28.52287276],[-22.46534868   0.        ],[ 11.23267434 -19.45556266],252.34594564770794,252.34594564770794,252.34594564770794,-2.0761452364176023,754.9616917067062
1.9000000000000001,[-35.1819114   0.       ],[ 17.5909557  -30.46842902],[-22.46324745   0.        ],[ 11.23162372 -19.45374294],252.29874296341293,252.29874296341293,252.29874296341293,-1.94357334139604,754.9526555488428
2.0,[-37.42823614   0.        ],[ 18.71411807 -32.41380332],[-22.461406   0.      ],[ 11.230703  -19.4521482],252.25737968166882,252.25737968166882,252.25737968166882,-1.826926196350708,754.9452128486558
2.1,[-39.67437674   0.        ],[ 19.83718837 -34.35901814],[-22.45977895   0.        ],[ 11.22988947 -19.45073913],252.2208352177357,252.2208352177357,252.2208352177357,-1.7234958859294984,754.9390097672775
2.2,[-41.92035464   0.        ],[ 20.96017732 -36.30409205],[-22.45833091   0.        ],[ 11.22916546 -19.4494851 ],252.1883137332962,252.18831373329627,252.18831373329627,-1.6311556923603518,754.9337855075283
2.3000000000000003,[-44.16618773   0.        ],[ 22.08309386 -38.24904056],[-22.45703389   0.        ],[ 11.22851694 -19.44836184],252.1591854996877,252.15918549968777,252.15918549968777,-1.5482120737334972,754.9293444253298
2.4000000000000004,[-46.41189112   0.        ],[ 23.20594556 -40.19387675],[-22.45586541   0.        ],[ 11.22793271 -19.44734991],252.13294570836896,252.13294570836905,252.13294570836905,-1.473299696395387,754.9255374287117
2.5,[-48.65747766   0.        ],[ 24.32873883 -42.13861174],[-22.45480728   0.        ],[ 11.22740364 -19.44643354],252.109184958395,252.10918495839508,252.10918495839508,-1.4053055847276212,754.9222492904574
2.6,[-50.90295839   0.        ],[ 25.45147919 -44.08325509],[-22.45384456   0.        ],[ 11.22692228 -19.4455998 ],252.08756773316205,252.0875677331622,252.0875677331622,-1.3433133802026658,754.9193898192838
2.7,[-53.14834284   0.        ],[ 26.57417142 -46.02781507],[-22.4529649   0.       ],[ 11.22648245 -19.444838  ],252.06781645218788,252.06781645218803,252.06781645218803,-1.2865617521756862,754.9168876043883
2.8000000000000003,[-55.39363933   0.        ],[ 27.69681967 -47.97229887],[-22.452158   0.      ],[ 11.226079  -19.4441392],252.04969948292924,252.04969948292938,252.04969948292938,-1.2344129383154117,754.9146855104726
