Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid Out (Qube),Exhausted Pool
193,17538961.876732655,1014425.3562168562,16380.0,False
194,17555827.009620313,1014425.3562168562,16380.0,False
195,17572692.14250797,1014425.3562168562,16380.0,False
196,17589557.275395628,1014425.3562168562,16380.0,False
197,17606422.408283286,1014425.3562168562,16380.0,False
198,17623287.541170944,1014425.3562168562,16380.0,False
199,17640152.6740586,1014425.3562168562,16380.0,False
200,17657017.80694626,1014425.3562168562,16380.0,False
201,17673882.939833917,1014425.3562168562,16380.0,False
202,17690748.072721574,1014425.3562168562,16380.0,False
203,17707613.205609232,1014425.3562168562,16380.0,False
204,17724478.33849689,1014425.3562168562,16380.0,False
205,17741343.471384548,1014425.3562168562,16380.0,False
206,17758208.604272205,1014425.3562168562,16380.0,False
207,17775073.737159863,1014425.3562168562,16380.0,False
208,17791938.87004752,1014425.3562168562,16380.0,False
209,17808804.00293518,1014425.3562168562,16380.0,False
210,17925669.135822836,1014425.3562168562,16380.0,False
211,17942534.268710494,1014425.3562168562,16380.0,False
212,17959399.40159815,1014425.3562168562,16380.0,False
213,17976264.53448581,1014425.3562168562,16380.0,False
214,17993129.667373467,1014425.3562168562,16380.0,False
215,18009994.800261125,1014425.3562168562,16380.0,False
216,18026859.933148783,1014425.3562168562,16380.0,False
217,18043725.06603644,1014425.3562168562,16380.0,False
218,18060590.1989241,1014425.3562168562,16380.0,False
219,18077455.331811756,1014425.3562168562,16380.0,False
220,18094320.464699414,1014425.3562168562,16380.0,False
221,18111185.59758707,1014425.3562168562,16380.0,False
222,18128050.73047473,1014425.3562168562,16380.0,False
223,18144915.863362387,1014425.3562168562,16380.0,False
224,18161780.996250045,1014425.3562168562,16380.0,False
225,18178646.129137702,1014425.3562168562,16380.0,False
226,18195511.26202536,1014425.3562168562,16380.0,False
227,18212376.394913018,1014425.3562168562,16380.0,False
228,18229241.527800675,1014425.3562168562,16380.0,False
229,18246106.660688333,1014425.3562168562,16380.0,False
230,18262971.79357599,1014425.3562168562,16380.0,False
231,18279836.92646365,1014425.3562168562,16380.0,False
232,18296702.059351306,1014425.3562168562,16380.0,False
233,18313567.192238964,1014425.3562168562,16380.0,False
234,18330432.325126622,1014425.3562168562,16380.0,False
235,18347297.45801428,1014425.3562168562,16380.0,False
236,18364162.590901937,1014425.3562168562,16380.0,False
237,18381027.723789595,1014425.3562168562,16380.0,False
238,18397892.856677253,1014425.3562168562,16380.0,False
239,18414757.98956491,1014425.3562168562,16380.0,False
240,18531623.12245257,1014425.3562168562,16380.0,False
241,18548488.255340226,1014425.3562168562,16380.0,False
242,18565353.388227884,1014425.3562168562,16380.0,False
243,18582218.52111554,1014425.3562168562,16380.0,False
244,18599083.6540032,1014425.3562168562,16380.0,False
245,18615948.786890857,1014425.3562168562,16380.0,False
246,18632813.919778515,1014425.3562168562,16380.0,False
247,18649679.052666172,1014425.3562168562,16380.0,False
248,18666544.18555383,1014425.3562168562,16380.0,False
249,18683409.318441488,1014425.3562168562,16380.0,False
250,18700274.451329146,1014425.3562168562,16380.0,False
251,18717139.584216803,1014425.3562168562,16380.0,False
252,18734004.71710446,1014425.3562168562,16380.0,False
253,18750869.84999212,1014425.3562168562,16380.0,False
254,18767734.982879777,1014425.3562168562,16380.0,False
255,18784600.115767434,1014425.3562168562,16380.0,False
256,18801465.248655092,1014425.3562168562,16380.0,False
257,18818330.38154275,1014425.3562168562,16380.0,False
258,18835195.514430407,1014425.3562168562,16380.0,False
259,18852060.647318065,1014425.3562168562,16380.0,False
260,18868925.780205723,1014425.3562168562,16380.0,False
261,18885790.91309338,1014425.3562168562,16380.0,False
262,18902656.04598104,1014425.3562168562,16380.0,False
263,18919521.178868696,1014425.3562168562,16380.0,False
264,18936386.311756354,1014425.3562168562,16380.0,False
265,18953251.44464401,1014425.3562168562,16380.0,False
266,18970116.57753167,1014425.3562168562,16380.0,False
267,18986981.710419327,1014425.3562168562,16380.0,False
268,19003846.843306985,1014425.3562168562,16380.0,False
269,19020711.976194642,1014425.3562168562,16380.0,False
270,19137577.1090823,1014425.3562168562,16380.0,False
271,19154442.241969958,1014425.3562168562,16380.0,False
272,19171307.374857616,1014425.3562168562,16380.0,False
273,19188172.507745273,1014425.3562168562,16380.0,False
274,19205037.64063293,1014425.3562168562,16380.0,False
275,19221902.77352059,1014425.3562168562,16380.0,False
276,19238767.906408247,1014425.3562168562,16380.0,False
277,19255633.039295904,1014425.3562168562,16380.0,False
278,19272498.172183562,1014425.3562168562,16380.0,False
279,19289363.30507122,1014425.3562168562,16380.0,False
280,19306228.437958878,1014425.3562168562,16380.0,False
281,19323093.570846535,1014425.3562168562,16380.0,False
282,19339958.703734193,1014425.3562168562,16380.0,False
283,19356823.83662185,1014425.3562168562,16380.0,False
284,19373688.96950951,1014425.3562168562,16380.0,False
285,19390554.102397166,1014425.3562168562,16380.0,False
286,19407419.235284824,1014425.3562168562,16380.0,False
287,19424284.36817248,1014425.3562168562,16380.0,False
288,19441149.50106014,1014425.3562168562,16380.0,False
289,19458014.633947797,1014425.3562168562,16380.0,False
290,19474879.766835455,1014425.3562168562,16380.0,False
291,19491744.899723113,1014425.3562168562,16380.0,False
292,19508610.03261077,1014425.3562168562,16380.0,False
293,19525475.165498428,1014425.3562168562,16380.0,False
294,19542340.298386086,1014425.3562168562,16380.0,False
295,19559205.431273744,1014425.3562168562,16380.0,False
296,19576070.5641614,1014425.3562168562,16380.0,False
297,19592935.69704906,1014425.3562168562,16380.0,False
298,19609800.829936717,1014425.3562168562,16380.0,False
299,19626665.962824374,1014425.3562168562,16380.0,False
300,19743531.095712032,1014425.3562168562,16380.0,False
301,19760396.22859969,1014425.3562168562,16380.0,False
302,19777261.361487348,1014425.3562168562,16380.0,False
303,19794126.494375005,1014425.3562168562,16380.0,False
304,19810991.627262663,1014425.3562168562,16380.0,False
305,19827856.76015032,1014425.3562168562,16380.0,False
306,19844721.89303798,1014425.3562168562,16380.0,False
307,19861587.025925636,1014425.3562168562,16380.0,False
308,19878452.158813294,1014425.3562168562,16380.0,False
309,19895317.29170095,1014425.3562168562,16380.0,False
310,19912182.42458861,1014425.3562168562,16380.0,False
311,19929047.557476267,1014425.3562168562,16380.0,False
312,19945912.690363925,1014425.3562168562,16380.0,False
313,19962777.823251583,1014425.3562168562,16380.0,False
314,19979642.95613924,1014425.3562168562,16380.0,False
315,19996508.0890269,1014425.3562168562,16380.0,False
316,20013373.221914556,1014425.3562168562,16380.0,False
317,20030238.354802214,1014425.3562168562,16380.0,False
318,20047103.48768987,1014425.3562168562,16380.0,False
319,20063968.62057753,1014425.3562168562,16380.0,False
320,20080833.753465187,1014425.3562168562,16380.0,False
321,20097698.886352845,1014425.3562168562,16380.0,False
322,20114564.019240502,1014425.3562168562,16380.0,False
323,20131429.15212816,1014425.3562168562,16380.0,False
324,20148294.285015818,1014425.3562168562,16380.0,False
325,20165159.417903475,1014425.3562168562,16380.0,False
326,20182024.550791133,1014425.3562168562,16380.0,False
327,20198889.68367879,1014425.3562168562,16380.0,False
328,20215754.81656645,1014425.3562168562,16380.0,False
329,20232619.949454106,1014425.3562168562,16380.0,False
330,20349485.082341764,1014425.3562168562,16380.0,False
331,20366350.21522942,1014425.3562168562,16380.0,False
332,20383215.34811708,1014425.3562168562,16380.0,False
333,20400080.481004737,1014425.3562168562,16380.0,False
334,20416945.613892395,1014425.3562168562,16380.0,False
335,20433810.746780053,1014425.3562168562,16380.0,False
336,20450675.87966771,1014425.3562168562,16380.0,False
337,20467541.01255537,1014425.3562168562,16380.0,False
338,20484406.145443026,1014425.3562168562,16380.0,False
339,20501271.278330684,1014425.3562168562,16380.0,False
340,20518136.41121834,1014425.3562168562,16380.0,False
341,20535001.544106,1014425.3562168562,16380.0,False
342,20551866.676993657,1014425.3562168562,16380.0,False
343,20568731.809881315,1014425.3562168562,16380.0,False
344,20585596.942768972,1014425.3562168562,16380.0,False
345,20602462.07565663,1014425.3562168562,16380.0,False
346,20619327.208544288,1014425.3562168562,16380.0,False
347,20636192.341431946,1014425.3562168562,16380.0,False
348,20653057.474319603,1014425.3562168562,16380.0,False
349,20669922.60720726,1014425.3562168562,16380.0,False
350,20686787.74009492,1014425.3562168562,16380.0,False
351,20703652.872982576,1014425.3562168562,16380.0,False
352,20720518.005870234,1014425.3562168562,16380.0,False
353,20737383.138757892,1014425.3562168562,16380.0,False
354,20754248.27164555,1014425.3562168562,16380.0,False
355,20771113.404533207,1014425.3562168562,16380.0,False
356,20787978.537420865,1014425.3562168562,16380.0,False
357,20804843.670308523,1014425.3562168562,16380.0,False
358,20821708.80319618,1014425.3562168562,16380.0,False
359,20838573.93608384,1014425.3562168562,16380.0,False
360,20955439.068971496,1014425.3562168562,16380.0,False
361,20972304.201859154,1014425.3562168562,16380.0,False
362,20989169.33474681,1014425.3562168562,16380.0,False
363,21006034.46763447,1014425.3562168562,16380.0,False
364,21022899.600522127,1014425.3562168562,16380.0,False
365,21039764.733409785,1014425.3562168562,16380.0,False
366,21056629.866297442,1014425.3562168562,16380.0,False
367,21073494.9991851,1014425.3562168562,16380.0,False
368,21090360.132072758,1014425.3562168562,16380.0,False
369,21107225.264960416,1014425.3562168562,16380.0,False
370,21124090.397848073,1014425.3562168562,16380.0,False
371,21140955.53073573,1014425.3562168562,16380.0,False
372,21157820.66362339,1014425.3562168562,16380.0,False
373,21174685.796511047,1014425.3562168562,16380.0,False
374,21191550.929398704,1014425.3562168562,16380.0,False
375,21208416.062286362,1014425.3562168562,16380.0,False
376,21225281.19517402,1014425.3562168562,16380.0,False
377,21242146.328061678,1014425.3562168562,16380.0,False
378,21259011.460949335,1014425.3562168562,16380.0,False
379,21275876.593836993,1014425.3562168562,16380.0,False
