Day,Remaining Pool (Qube),Daily Ticket Sales,Daily Rewards Paid,Qube Price ($),Penalty Contributions
1217,11343702.361899432,100000,4049.494642811805,5.650034204032665e+96,404.94946428118055
1218,11339873.169762835,100000,4048.036824740394,7.727675788968427e+96,404.8036824740394
1219,11336043.977626238,100000,4046.579531483487,1.0571070759515344e+97,404.6579531483487
1220,11332214.785489643,100000,4045.1227628521538,1.4463097003935097e+97,404.5122762852154
1221,11328385.593353048,100000,4043.6665186575265,1.9791367930978257e+97,404.36665186575266
1222,11324556.401216451,100000,4042.2107987108097,2.7087098228419443e+97,404.221079871081
1223,11320727.209079856,100000,4040.7556028232743,3.707842441201152e+97,404.07556028232744
1224,11316898.016943261,100000,4039.3009308062574,5.076356808790725e+97,403.93009308062574
1225,11313068.824806664,100000,4037.846782471168,6.95112425997384e+97,403.7846782471168
1226,11309239.632670067,100000,4036.3931576294776,9.519847002534182e+97,403.6393157629478
1227,11305410.440533472,100000,4034.940056092731,1.3039977805993355e+98,403.49400560927313
1228,11301581.248396877,100000,4033.4874776725374,1.786469742164081e+98,403.34874776725377
1229,11297752.05626028,100000,4032.0354221805756,2.4478588340596945e+98,403.2035422180576
1230,11293922.864123683,100000,4030.5838894285903,3.354663213116326e+98,403.05838894285904
1231,11290093.671987088,100000,4029.132879228396,4.5981517461516035e+98,402.91328792283963
1232,11286264.479850493,100000,4027.682391391874,6.303611670617726e+98,402.7682391391874
1233,11282435.287713896,100000,4026.2324257309724,8.643056313516298e+98,402.6232425730973
1234,11278606.095577301,100000,4024.7829820577094,1.1852690306679478e+99,402.47829820577095
1235,11274776.903440706,100000,4023.3340601841687,1.6256917304618856e+99,402.3334060184169
1236,11270947.71130411,100000,4021.8856599225023,2.230134640057161e+99,402.18856599225023
1237,11267118.519167513,100000,4020.43778108493,3.059817754884777e+99,402.04377810849303
1238,11263289.327030918,100000,4018.99042348374,4.198861885032708e+99,401.899042348374
1239,11259460.134894323,100000,4017.5435869312855,5.762874120253938e+99,401.75435869312855
1240,11255630.942757726,100000,4016.0972712399907,7.910759007045219e+99,401.6097271239991
1241,11251801.750621129,100000,4014.6514762223437,1.0860970028597306e+100,401.4651476222344
1242,11247972.558484534,100000,4013.2062016909035,1.4913874300518567e+100,401.3206201690904
1243,11244143.366347939,100000,4011.761447458295,2.0482535034643845e+100,401.17614474582956
1244,11240314.174211342,100000,4010.31721333721,2.81350869606004e+100,401.031721333721
1245,11236484.982074747,100000,4008.8734991404085,3.865308015389808e+100,400.8873499140409
1246,11232655.789938152,100000,4007.430304680718,5.311182265950492e+100,400.7430304680718
1247,11228826.597801555,100000,4005.9876297710334,7.299103452855284e+100,400.5987629771034
1248,11224997.405664958,100000,4004.545474224316,1.0032727367426909e+101,400.45454742243163
1249,11221168.213528363,100000,4003.1038378535955,1.3792393626902081e+101,400.3103837853596
1250,11217339.021391768,100000,4001.662720471968,1.8964062550650382e+101,400.1662720471968
1251,11213509.829255171,100000,4000.2221218925984,2.6079194981058005e+101,400.02221218925985
1252,11209680.637118574,100000,1999.3910209643586,3.5866789140986043e+101,199.93910209643587
1253,11205851.444981981,100000,1999.0311305805849,4.933172757642448e+101,199.9031130580585
1254,11202022.252845384,100000,1998.6713049770804,6.785715493145947e+101,199.86713049770805
1255,11198193.060708787,100000,1998.3115441421844,9.334701983176557e+101,199.83115441421845
1256,11194363.868572192,100000,1997.9518480642387,1.2842238957883613e+102,199.7951848064239
1257,11190534.676435597,100000,1997.5922167315873,1.7669184494676697e+102,199.75922167315875
1258,11186705.484299,100000,1997.2326501325751,2.4312393967793013e+102,199.72326501325753
1259,11182876.292162403,100000,1996.8731482555513,3.3456029214931977e+102,199.68731482555515
1260,11179047.100025808,100000,1996.5137110888654,4.604224659535989e+102,199.65137110888656
1261,11175217.907889213,100000,1996.154338620869,6.336859101455559e+102,199.61543386208692
1262,11171388.715752617,100000,1995.7950308399174,8.722219630137788e+102,199.57950308399177
1263,11167559.523616021,100000,1995.4357877343664,1.200647164615044e+103,199.54357877343665
1264,11163730.331479426,100000,1995.0766092925744,1.6528718588602191e+103,199.50766092925744
1265,11159901.13934283,100000,1994.7174955029016,2.2756127950772394e+103,199.47174955029016
1266,11156071.947206233,100000,1994.3584463537109,3.1332347499278726e+103,199.4358446353711
1267,11152242.755069638,100000,1993.9994618333674,4.314424554592978e+103,199.39994618333674
1268,11148413.562933043,100000,1993.640541930237,5.941391780114523e+103,199.36405419302372
1269,11144584.370796446,100000,1993.28168663269,8.182553650143056e+103,199.32816866326903
1270,11140755.178659849,100000,1992.9228959290963,1.1270025043784449e+104,199.29228959290964
1271,11136925.986523254,100000,1992.5641698078289,1.552373572181118e+104,199.2564169807829
